Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Total;6.320.446;1.948;2.627;6.258;8.813;3.319;1.106;509;207;144;157;277;478;25.843
Local de Residência Ignorado**;;220;285;574;444;178;66;34;26;8;10;25;27;1.897
Área Programática 1.0;297.976;74;109;521;770;115;51;10;17;6;5;12;25;1.715
I Portuária;48.664;13;32;61;101;30;7;1;3;;3;;2;253
Saúde;2.749;;;4;1;1;1;;1;;;;1;9
Gamboa;13.108;1;7;10;45;7;1;;;;;;;71
Santo Cristo;12.330;4;18;22;39;6;3;;;;1;;1;94
Caju;20.477;8;7;25;16;16;2;1;2;;2;;;79
II Centro;41.142;19;14;27;43;8;6;2;2;;1;2;1;125
Centro;41.142;19;14;27;43;8;6;2;2;;1;2;1;125
III Rio Comprido;78.975;22;19;312;454;32;11;;4;6;;5;12;877
Catumbi;12.556;1;4;260;377;6;1;;3;;;1;4;657
Rio Comprido;43.764;11;11;27;36;14;6;;1;2;;1;6;115
Cidade Nova;5.466;5;1;1;3;2;;;;2;;;1;15
Estácio;17.189;5;3;24;38;10;4;;;2;;3;1;90
VII São Cristóvão;84.908;12;28;64;73;25;5;5;4;;;5;9;230
São Cristóvão;26.510;10;16;37;40;12;1;3;3;;;2;6;130
Mangueira;17.835;;7;11;7;2;;;;;;1;;28
Benfica;25.081;2;5;16;26;11;4;2;1;;;2;3;72
Vasco da Gama ***;15.482;;;;;;;;;;;;;
XXI Paquetá;3.361;;1;17;23;3;13;;;;;;;57
Paquetá;3.361;;1;17;23;3;13;;;;;;;57
XXIII Santa Teresa;40.926;8;15;40;76;17;9;2;4;;1;;1;173
Santa Teresa;40.926;8;15;40;76;17;9;2;4;;1;;1;173
Área Programática 2.1;638.050;136;157;138;115;81;25;16;9;9;7;3;22;718
IV Botafogo;239.729;39;65;58;40;12;9;5;6;4;4;2;6;250
Flamengo;50.043;5;11;2;4;4;;;1;1;1;;3;32
Glória;9.661;3;3;3;3;;;1;3;;;;;16
Laranjeiras;45.554;3;7;10;7;1;;2;;1;1;;;32
Catete;24.057;4;8;8;8;2;;1;;1;1;1;1;35
Cosme Velho;7.178;1;1;1;;1;;;;;;;;4
Botafogo;82.890;19;28;28;16;4;9;1;2;1;1;1;2;112
Humaitá;13.285;1;4;3;1;;;;;;;;;9
Urca;7.061;3;3;3;1;;;;;;;;;10
V Copacabana;161.191;27;49;25;16;20;2;4;2;2;;;7;154
Leme;14.799;1;11;2;3;12;1;;;;;;1;31
Copacabana;146.392;26;38;23;13;8;1;4;2;2;;;6;123
VI Lagoa;167.774;44;34;20;23;20;7;3;;2;2;1;5;161
Ipanema;42.743;6;7;5;6;1;3;;;1;1;1;2;33
Leblon;46.044;11;9;3;2;5;2;1;;;;;;33
Lagoa;21.198;3;4;;3;1;;1;;;;;;12
Jardim Botânico;18.009;6;2;3;1;3;;;;;;;2;17
Gávea;16.003;6;6;;5;3;1;;;;1;;1;23
Vidigal;12.797;6;5;5;6;6;1;1;;1;;;;31
São Conrado;10.980;6;1;4;;1;;;;;;;;12
XXVII Rocinha;69.356;26;9;35;36;29;7;4;1;1;1;;4;153
Rocinha;69.356;26;9;35;36;29;7;4;1;1;1;;4;153
Área Programática 2.2;371.120;78;81;258;410;87;23;17;6;2;4;2;8;976
VIII Tijuca;181.810;23;29;28;47;14;10;6;1;;4;;2;164
Praça da Bandeira;8.662;1;2;2;2;1;;;;;;;;8
Tijuca;163.805;20;26;20;44;13;10;6;1;;4;;2;146
Alto da Boa Vista;9.343;2;1;6;1;;;;;;;;;10
IX Vila Isabel;189.310;55;52;230;363;73;13;11;5;2;;2;6;812
Maracanã;25.256;1;5;7;12;2;;;;;;;;27
Vila Isabel;86.018;40;35;200;313;53;11;7;4;;;2;4;669
Andaraí;39.365;3;3;12;15;8;1;3;;2;;;2;49
Grajaú;38.671;11;9;11;23;10;1;1;1;;;;;67
Área Programática 3.1;886.551;175;394;1.366;1.385;411;137;73;30;10;13;38;53;4.085
X Ramos;153.177;25;65;170;285;81;37;26;6;4;1;9;11;720
Manguinhos;36.160;8;7;11;33;4;3;2;;;1;2;1;72
Bonsucesso;18.711;7;13;19;45;12;7;4;2;1;;2;5;117
Ramos;40.792;4;26;56;83;34;18;9;3;1;;4;2;240
Olaria;57.514;6;19;84;124;31;9;11;1;2;;1;3;291
XI Penha;321.887;82;219;633;561;194;54;24;14;3;8;22;29;1.843
Penha;78.678;24;139;352;223;42;12;8;1;;2;;3;806
Penha Circular;47.816;7;12;54;102;19;8;1;1;;;2;3;209
Brás de Pina;59.222;21;19;62;69;40;10;2;1;;;1;;225
Cordovil;45.202;6;19;84;83;47;8;4;;2;3;8;1;265
Parada de Lucas;23.923;6;7;12;24;8;5;3;3;;;4;4;76
Vigário Geral;41.820;10;10;27;33;22;7;2;4;;2;4;9;130
Jardim América;25.226;8;13;42;27;16;4;4;4;1;1;3;9;132
XX Ilha Do Governador;212.574;34;24;29;53;27;14;7;5;;2;4;8;207
Ribeira;3.528;;1;;;2;;;;;;;;3
Zumbi;2.016;4;;2;;1;;;;;;;;7
Cacuia;11.013;2;2;2;1;6;1;;;;;;2;16
Pitangueiras;11.756;5;;1;5;1;1;1;;;;;;14
Praia da Bandeira;5.948;;1;;1;;;;;;;;;2
Cocotá;4.877;;1;;2;1;;;;;;;;4
Bancários;12.512;1;1;1;5;;;;;;;;2;10
Freguesia (Ilha do Governador);19.437;1;2;2;1;;;;;;;2;2;10
Jardim Guanabara;32.213;11;3;2;3;;1;;1;;;;;21
Jardim Carioca;24.848;2;;3;2;4;1;;;;;;1;13
Tauá;29.567;1;2;2;13;3;5;1;2;;;2;;31
Moneró;6.476;3;2;1;5;3;1;;2;;;;;17
Portuguesa;23.856;2;1;1;2;1;1;;;;;;;8
Galeão;22.971;2;8;11;10;5;3;5;;;2;;1;47
Cidade Universitária;1.556;;;1;3;;;;;;;;;4
XXIX Complexo do Alemão;69.143;32;86;528;466;101;31;11;3;2;1;3;4;1.268
Complexo do Alemão;69.143;32;86;528;466;101;31;11;3;2;1;3;4;1.268
XXX Maré;129.770;2;;6;20;8;1;5;2;1;1;;1;47
Maré;129.770;2;;6;20;8;1;5;2;1;1;;1;47
Área Programática 3.2;569.970;112;206;514;849;289;77;51;10;9;3;14;35;2.169
XII Inhaúma;134.349;59;67;183;255;94;30;17;3;4;;4;10;726
Higienópolis;15.734;4;6;7;3;6;3;;1;;;;1;31
Maria da Graça;7.972;5;3;21;20;25;4;3;;2;;;3;86
Del Castilho;15.610;1;1;1;14;3;1;2;;1;;;1;25
Inhaúma;45.698;9;6;12;27;8;1;5;;;;;1;69
Engenho da Rainha;26.659;30;31;76;91;27;8;3;1;1;;2;3;273
