Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Tomas Coelho;22.676;5;14;43;43;6;5;2;;;;1;;119
XIII Méier;397.782;5;6;23;57;19;8;2;1;;;1;1;123
Jacaré;9.276;51;137;327;585;191;47;34;6;5;3;10;25;1.421
São Francisco Xavier;8.343;2;11;17;17;;1;;;;;;;48
Rocha;8.766;2;4;10;7;5;1;;;;;;2;31
Riachuelo;12.653;;3;9;13;9;3;1;;;;;;38
Sampaio;10.895;;2;46;66;14;1;1;;;1;;1;132
Engenho Novo;42.172;7;14;55;104;40;8;3;3;1;1;4;7;247
Lins de Vasconcelos;37.487;2;6;17;74;20;4;3;;;;2;;128
Méier;49.828;13;20;34;59;22;7;9;2;1;;1;5;173
Todos ds Santos;24.646;1;8;9;9;5;1;;;;;;1;34
Cachambi;42.415;5;11;23;32;16;3;5;;;;;4;99
Engenho de Dentro;45.540;7;18;23;54;22;3;1;;3;;;2;133
Água Santa;8.756;1;3;2;5;3;1;;;;;;;15
Encantado;15.021;2;3;14;17;9;2;1;;;;1;;49
Piedade;43.378;3;17;23;69;15;2;2;;;;;2;133
Abolição;11.356;3;5;7;17;3;4;4;;;;;1;44
Pilares;27.250;3;12;38;42;8;6;4;1;;1;2;;117
XVIII Jacarezinho;37.839;2;2;4;9;4;;;1;;;;;22
Jacarezinho;37.839;2;2;4;9;4;;;1;;;;;22
Área Programática 3.3;942.638;287;356;920;1.089;383;187;114;38;49;33;60;92;3.608
XIV Irajá;202.952;64;126;235;237;104;62;30;10;19;14;34;31;966
Vila Kosmos;18.274;5;18;42;60;24;5;3;;1;;3;1;162
Vicente de Carvalho;24.964;7;11;35;46;10;4;2;2;1;1;2;3;124
Vila da Penha;25.465;12;13;23;22;14;3;2;;;2;1;1;93
Vista Alegre;8.622;7;19;26;6;3;7;2;1;;3;1;5;80
Irajá;96.382;9;41;69;57;47;36;17;5;11;6;14;16;328
Colégio;29.245;24;24;40;46;6;7;4;2;6;2;13;5;179
XV Madureira;372.555;116;123;366;463;151;65;54;19;16;10;12;17;1.412
Campinho;10.156;4;2;30;51;11;1;1;;1;;2;;103
Quintino Bocaiúva;31.185;7;8;24;23;11;1;2;;;;1;;77
Cavalcanti;16.141;4;7;7;20;6;2;2;1;;1;1;1;52
Engenheiro Leal;6.113;;;3;5;3;1;;;;;;;12
Cascadura;34.456;8;8;23;43;11;1;6;;;;2;1;103
Madureira;50.106;14;24;47;88;36;11;12;4;1;3;2;3;245
Vaz Lobo;15.167;5;8;41;32;6;2;1;1;1;;;;97
Turiaçu;17.246;8;13;21;9;3;6;;1;;2;;1;64
Rocha Miranda;44.188;35;31;84;66;23;14;12;7;3;2;2;4;283
Honório Gurgel;21.989;4;3;8;3;8;10;5;1;;;1;2;45
Oswaldo Cruz;34.040;8;6;25;56;17;6;3;1;3;1;;2;128
Bento Ribeiro;43.707;5;5;37;39;6;5;7;1;4;;1;1;111
Marechal Hermes;48.061;14;8;16;28;10;5;3;2;3;1;;2;92
XXII Anchieta;158.318;32;41;103;113;33;17;4;5;3;2;3;32;388
Guadalupe;47.144;14;8;27;41;15;12;2;5;2;1;2;5;134
Anchieta;55.652;10;17;56;48;12;2;;;1;1;1;12;160
Parque Anchieta;26.212;3;9;9;14;2;;1;;;;;2;40
Ricardo de Albuquerque;29.310;5;7;11;10;4;3;1;;;;;13;54
XXV Pavuna;208.813;75;66;216;276;95;43;26;4;11;7;11;12;842
Coelho Neto;32.423;9;12;21;52;15;15;8;1;3;1;3;2;142
Acari;27.347;;9;21;13;6;2;2;;3;1;4;3;64
Barros Filho;14.049;8;1;9;7;8;7;2;;;3;;;45
Costa Barros;28.442;30;19;86;84;29;8;7;1;3;;3;4;274
Pavuna;97.350;28;25;79;120;37;11;7;2;2;2;1;3;317
Parque Columbia;9.202;;;;;;;;;;;;;
Área Programática 4.0;909.368;513;506;649;757;338;106;18;13;12;11;21;37;2.981
XVI Jacarepagua;572.030;300;273;394;559;236;65;11;7;6;7;12;23;1.893
Jacarepaguá;157.326;66;50;47;61;33;10;3;1;2;2;1;10;286
Anil;24.172;37;25;27;22;7;3;;1;1;1;1;2;127
Gardênia Azul;17.715;15;19;24;29;22;3;1;4;1;;1;1;120
Curicica;31.189;43;21;47;63;28;9;3;;1;1;3;4;223
Freguesia (Jacarepaguá);70.511;30;31;20;26;17;8;;1;;2;2;2;139
Pechincha;34.709;9;21;40;39;16;4;;;;;1;1;131
Taquara;102.126;54;56;77;124;63;14;2;;;1;1;2;394
Tanque;37.856;14;13;33;59;19;5;;;;;;;143
Praça Seca;64.147;16;19;49;95;22;5;2;;1;;;1;210
Vila Valqueire;32.279;16;18;30;41;9;4;;;;;2;;120
XXXIV Cidade De Deus;36.515;20;15;44;36;34;12;1;5;4;;5;5;181
Cidade de Deus;36.515;20;15;44;36;34;12;1;5;4;;5;5;181
XXIV Barra Da Tijuca;300.823;193;218;211;162;68;29;6;1;2;4;4;9;907
Joá;818;1;;;;;;;;;;;;1
Itanhangá;38.415;26;27;21;20;8;9;1;1;1;;1;2;117
Barra da Tijuca;135.924;63;69;45;29;18;6;3;;1;2;1;;237
Camorim;1.970;5;2;3;5;2;;;;;;;;17
Vargem Pequena;27.250;23;13;20;25;8;;1;;;;;1;91
Vargem Grande;14.039;17;29;28;19;12;3;;;;1;1;3;113
Recreio dos Bandeirantes;82.240;58;78;94;64;20;11;1;;;1;1;3;331
Grumari;167;;;;;;;;;;;;;
Área Programática 5.1;671.041;167;299;824;2.258;956;197;35;3;2;7;18;45;4.811
XXXIII Realengo;243.006;65;83;305;774;258;39;11;1;1;2;7;13;1.559
Deodoro;10.842;6;4;6;14;4;1;1;;;;;1;37
Vila Militar;13.184;1;;1;2;6;;;;;;;;10
Campo dos Afonsos;1.365;;1;;;;;;;;;;;1
Jardim Sulacap;13.062;9;13;24;52;21;7;1;1;;;;;128
Magalhães Bastos;24.430;10;9;32;51;14;1;;;;;1;2;120
Realengo;180.123;39;56;242;655;213;30;9;;1;2;6;10;1.263
XVIIBangu;428.035;102;216;519;1.484;698;158;24;2;1;5;11;32;3.252
Padre Miguel;64.228;12;36;81;224;45;8;2;;;;2;7;417
Bangu;243.125;55;111;292;806;380;86;13;1;1;3;6;13;1.767
Senador Camará;105.515;35;69;146;454;273;64;9;1;;2;3;12;1.068
Gericino ***;15.167;;;;;;;;;;;;;
Área Programática 5.2;665.198;129;121;204;308;270;128;81;40;23;35;45;73;1.457
XVIII Campo Grande;542.084;69;70;135;197;176;103;66;28;18;29;38;59;988
Santíssimo;41.458;2;12;20;40;35;10;4;;;1;2;5;131
Campo Grande;328.370;39;23;46;56;85;58;38;21;7;21;27;41;462
Senador Vasconcelos;30.600;12;17;21;14;15;13;3;;2;2;;1;100
Inhoaíba;64.649;4;9;29;44;22;8;11;1;4;2;3;3;140
Cosmos;77.007;12;9;19;43;19;14;10;6;5;3;6;9;155
XXVI Guaratiba;123.114;60;51;69;111;94;25;15;12;5;6;7;14;469
Guaratiba;110.049;53;39;55;97;79;20;13;10;4;5;6;13;394
Barra de Guaratiba;3.577;4;5;2;4;1;1;;;;;;;17
Pedra de Guaratiba;9.488;3;7;12;10;14;4;2;2;1;1;1;1;58
Área Programática 5.3;368.534;57;113;290;428;211;109;60;15;14;29;39;61;1.426
XIX Santa Cruz;368.534;57;113;290;428;211;109;60;15;14;29;39;61;1.426
Paciência;94.626;11;18;68;150;60;26;18;2;4;6;1;7;371
Santa Cruz;217.333;36;81;185;242;70;55;32;12;6;22;32;51;824
Sepetiba;56.575;10;14;37;36;81;28;10;1;4;1;6;3;231
