Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Inhoaíba;64.649;8;21;69;76;40;19;6;2;2;;;;243
Cosmos;77.007;15;15;20;24;12;4;3;1;7;;;;101
XXVI - Guaratiba;123.114;10;9;36;63;75;39;30;7;6;;;;275
Guaratiba;110.049;9;6;32;44;45;13;2;4;1;;;;156
Barra de Guaratiba;3.577;;1;1;;;;;1;1;;;;4
Pedra de Guaratiba;9.488;1;2;3;19;30;26;28;2;4;;;;115
Área Programática 5.3;368.534;32;25;67;86;79;79;48;31;12;4;;;463
XIX - Santa Cruz;368.534;32;25;67;86;79;79;48;31;12;4;;;463
Paciência;94.626;7;8;19;27;29;34;18;19;8;;;;169
Santa Cruz;217.333;25;14;42;57;46;45;29;11;4;4;;;277
Sepetiba;56.575;;3;6;2;4;;1;1;;;;;17
