Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Total;6.320.446;796;627;527;385;262;125;125;105;126;188;182;236;3.684
Bairro de Residência Ignorado**;;29;17;17;7;16;1;1;3;1;5;4;9;110
Área Programática 1.0;297.976;58;67;40;34;19;9;13;6;5;17;7;11;286
I - Portuária;48.664;5;15;7;7;6;2;2;1;;4;;1;50
Saúde;2.749;;2;;;;;;;;;;;2
Gamboa;13.108;1;2;3;3;5;1;1;;;;;;16
Santo Cristo;12.330;;4;2;;;;;1;;3;;;10
Caju;20.477;4;7;2;4;1;1;1;;;1;;1;22
II - Centro;41.142;6;10;5;7;1;2;1;1;1;1;2;;37
Centro;41.142;6;10;5;7;1;2;1;1;1;1;2;;37
III - Rio Comprido;78.975;30;24;20;7;2;2;2;2;3;5;1;2;100
Catumbi;12.556;5;8;6;2;;;;1;;;1;;23
Rio Comprido;43.764;17;8;13;2;2;2;1;1;2;2;;1;51
Cidade Nova;5.466;1;4;;1;;;;;;;;;6
Estácio;17.189;7;4;1;2;;;1;;1;3;;1;20
VII - São Cristóvão;84.908;11;12;2;6;4;1;4;1;1;2;;3;47
São Cristóvão;26.510;5;7;2;3;2;1;4;1;;1;;2;28
Mangueira;17.835;1;2;;;;;;;;;;;3
Benfica;25.081;5;3;;3;2;;;;1;1;;1;16
Vasco da Gama;15.482;;;;;;;;;;;;;
XXI - Ilha de Paquetá;3.361;;1;;;;;;;;;1;;2
Paquetá;3.361;;1;;;;;;;;;1;;2
XXIII - Santa Teresa;40.926;6;5;6;7;6;2;4;1;;5;3;5;50
Santa Teresa;40.926;6;5;6;7;6;2;4;1;;5;3;5;50
Área Programática 2.1;638.050;61;54;46;35;14;7;15;11;10;10;10;13;286
IV - Botafogo;239.729;15;14;17;12;3;3;5;6;6;5;2;10;98
Flamengo;50.043;3;1;4;;1;;1;1;2;1;;1;15
Glória;9.661;1;3;2;1;;1;;1;;;;;9
Laranjeiras;45.554;;2;1;;;;;;;2;1;1;7
Catete;24.057;3;1;2;;1;;;1;1;1;;4;14
Cosme Velho;7.178;;1;3;;;;;;;;;;4
Botafogo;82.890;8;4;2;9;1;2;2;3;2;1;1;4;39
Humaitá;13.285;;1;3;2;;;1;;;;;;7
Urca;7.061;;1;;;;;1;;1;;;;3
V - Copacabana;161.191;15;14;8;9;2;;5;1;1;5;4;2;66
Leme;14.799;2;;;1;;;;1;;;;;4
Copacabana;146.392;13;14;8;8;2;;5;;1;5;4;2;62
VI - Lagoa;167.774;11;6;10;8;2;1;4;3;1;;2;1;49
Ipanema;42.743;4;1;2;1;;;2;1;;;;;11
Leblon;46.044;1;;2;;1;;;;;;1;;5
Lagoa;21.198;1;;;2;;;1;;;;;;4
Jardim Botânico;18.009;;1;;;;;;;;;;;1
Gávea;16.003;;2;3;;;1;;;;;;1;7
Vidigal;12.797;5;2;2;5;1;;;2;1;;1;;19
São Conrado;10.980;;;1;;;;1;;;;;;2
XXVII - Rocinha;69.356;20;20;11;6;7;3;1;1;2;;2;;73
Rocinha;69.356;20;20;11;6;7;3;1;1;2;;2;;73
Área Programática 2.2;371.120;22;14;11;7;4;3;7;6;4;5;3;3;89
VIII - Tijuca;181.810;6;6;2;;3;1;4;3;1;1;1;2;30
Praça da Bandeira;8.662;;1;;;;;1;;;;1;;3
Tijuca;163.805;5;5;2;;3;1;3;3;1;1;;2;26
Alto da Boa Vista;9.343;1;;;;;;;;;;;;1
IX - Vila Isabel;189.310;16;8;9;7;1;2;3;3;3;4;2;1;59
Maracanã;25.256;2;;;;;;1;;2;1;;;6
Vila Isabel;86.018;11;6;6;6;1;;2;3;;1;2;;38
Andaraí;39.365;3;2;3;1;;1;;;;1;;;11
Grajaú;38.671;;;;;;1;;;1;1;;1;4
Área Programática 3.1;886.551;107;96;86;62;36;24;5;5;15;18;12;24;490
X - Ramos;153.177;22;17;17;10;4;4;1;2;2;4;5;7;95
Manguinhos;36.160;6;2;3;;2;2;;;;2;2;2;21
Bonsucesso;18.711;5;3;2;3;1;;;2;2;;;2;20
Ramos;40.792;6;8;9;6;1;1;;;;1;2;2;36
Olaria;57.514;5;4;3;1;;1;1;;;1;1;1;18
XI - Penha;321.887;58;49;36;33;27;11;3;3;6;10;6;10;252
Penha;78.678;8;9;5;2;1;2;1;;;1;;2;31
Penha Circular;47.816;5;3;;;4;2;;;1;2;;;17
Brás de Pina;59.222;4;4;8;3;3;3;;;;1;;1;27
Cordovil;45.202;12;7;5;7;5;1;1;1;1;1;2;1;44
Parada de Lucas;23.923;7;2;1;2;3;2;;1;1;;1;1;21
Vigário Geral;41.820;11;11;7;9;3;;1;1;2;2;2;2;51
Jardim América;25.226;11;13;10;10;8;1;;;1;3;1;3;61
XX - Ilha do Governador;212.574;17;20;16;16;5;7;1;;7;4;;5;98
Ribeira;3.528;;;;;;;;;;1;;;1
Zumbi;2.016;;;;;1;;;;1;;;;2
Cacuia;11.013;1;;2;1;;;;;;;;;4
Pitangueiras;11.756;;3;1;;;;;;;;;;4
Praia da Bandeira;5.948;1;;2;2;;1;;;1;;;;7
Cocotá;4.877;;;;;;1;;;;;;;1
Bancários;12.512;2;6;1;;1;1;;;;;;;11
Freguesia (Ilha do Governador);19.437;;2;;1;;1;;;;;;1;5
Jardim Guanabara;32.213;1;;;3;;;;;1;1;;2;8
Jardim Carioca;24.848;1;3;4;3;;;;;1;1;;1;14
Taua;29.567;5;3;2;;2;;;;;;;1;13
Moneró;6.476;1;;2;2;1;;1;;1;1;;;9
Portuguesa;23.856;1;;;;;;;;2;;;;3
Galeão;22.971;4;3;2;4;;3;;;;;;;16
Cidade Universitária;1.556;;;;;;;;;;;;;
XXIX - Complexo do Alemão;69.143;9;5;14;3;;1;;;;;1;2;35
Complexo do Alemão;69.143;9;5;14;3;;1;;;;;1;2;35
XXX - Mare;129.770;1;5;3;;;1;;;;;;;10
Complexo da Maré;129.770;1;5;3;;;1;;;;;;;10
Área Programática 3.2;569.970;54;45;28;15;9;3;6;13;9;4;6;5;197
XII - Inhaúma;143.625;19;17;7;1;1;;2;4;4;1;3;2;61
Higienópolis;15.734;2;2;1;1;;;;1;;;;;7
Jacaré;9.276;4;3;2;;;;1;;1;;1;;12
Maria da Graça;7.972;;;;;;;;1;;;;;1
Del Castilho;15.610;3;1;;;;;;;1;;;;5
Inhaúma;45.698;6;7;1;;1;;;1;2;1;2;;21
Engenho da Rainha;26.659;2;3;3;;;;;1;;;;2;11
Tomas Coelho;22.676;2;1;;;;;1;;;;;;4
XIII - Méier;388.506;35;27;21;14;7;3;4;9;5;3;3;3;134
São Francisco Xavier;8.343;;;;;;;;;;;;1;1
Rocha;8.766;;1;;1;2;;;;1;;1;;6
Riachuelo;12.653;2;1;1;;1;;1;;;;;;6
Sampaio;10.895;2;4;2;2;;;;;;;1;;11
Engenho Novo;42.172;2;2;8;1;;;;1;;;;;14
Lins de Vasconcelos;37.487;;1;1;1;1;;;1;1;;1;;7
Méier;49.828;11;3;5;1;;3;2;2;;;;1;28
Todos os Santos;24.646;1;1;1;1;1;;;;1;;;;6
Cachambi;42.415;8;;1;1;;;;1;;1;;;12
Engenho de Dentro;45.540;1;5;;4;1;;;1;1;;;;13
Água Santa;8.756;;;;;;;;;;;;;
Encantado;15.021;;2;1;;;;;1;1;;;;5
Piedade;43.378;2;5;1;1;;;;1;;1;;;11
Abolição;11.356;3;1;;;;;;1;;;;;5
Pilares;27.250;3;1;;1;1;;1;;;1;;1;9
XXVIII - Jacarezinho;37.839;;1;;;1;;;;;;;;2
Jacarezinho;37.839;;1;;;1;;;;;;;;2
Área Programática 3.3;942.638;138;89;115;69;35;5;11;10;20;27;29;20;568
XIV - Irajá;202.952;63;39;54;40;21;2;2;2;7;16;21;6;273
Vila Kosmos;18.274;6;5;8;1;1;;;;1;5;2;1;30
Vicente de Carvalho;24.964;4;4;3;1;;;;;1;;3;;16
Vila da Penha;25.465;5;4;5;5;1;;;;;2;;1;23
Vista Alegre;8.622;6;2;4;3;;;;;2;;1;1;19
Irajá;96.382;29;15;26;21;16;1;1;2;3;7;8;2;131
Colégio;29.245;13;9;8;9;3;1;1;;;2;7;1;54
XV - Madureira;372.555;32;16;23;12;5;3;6;2;2;7;2;7;117
Campinho;10.156;1;;;;;;;;;1;;1;3
Quintino Bocaiuva;31.185;;;;2;;1;1;;;;;1;5
Cavalcante;16.141;3;1;;;;;;;;;;;4
Engenheiro Leal;6.113;2;;;;1;;;;;;;;3
Cascadura;34.456;6;;;1;;1;1;;;1;;;10
Madureira;50.106;1;2;4;1;;;1;;1;1;;1;12
Vaz Lobo;15.167;2;1;2;;;;1;;;;;;6
Turiaçu;17.246;2;2;;2;;;;;1;2;;;9
Rocha Miranda;44.188;6;6;10;2;1;;2;2;;;;2;31
Honório Gurgel;21.989;3;2;2;1;1;;;;;;;1;10
Oswaldo Cruz;34.040;2;;1;1;1;1;;;;1;;;7
Bento Ribeiro;43.707;2;;2;2;1;;;;;1;;1;9
Marechal Hermes;48.061;2;2;2;;;;;;;;2;;8
XXII - Anchieta;158.318;19;16;9;2;2;;;3;6;;1;3;61
Guadalupe;47.144;;2;3;2;;;;1;1;;;;9
