Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Anchieta;55.652;12;8;5;;1;;;;3;;1;1;31
Parque Anchieta;26.212;2;;1;;;;;2;2;;;;7
Ricardo de Albuquerque;29.310;5;6;;;1;;;;;;;2;14
XXV - Pavuna;208.813;24;18;29;15;7;;3;3;5;4;5;4;117
Coelho Neto;32.423;6;4;7;;1;;;2;;;1;;21
Acari;27.347;4;3;5;4;1;;2;;1;1;1;2;24
Barros Filho;14.049;2;;4;;;;;1;2;1;2;1;13
Costa Barros;28.442;4;6;7;6;1;;;;1;;1;1;27
Pavuna;97.350;8;5;6;5;4;;1;;1;2;;;32
Parque Columbia;9.202;;;;;;;;;;;;;
Área Programática 4.0;909.368;33;15;53;44;40;11;14;9;16;40;38;64;377
XVI - Jacarepaguá;572.030;19;9;35;32;29;9;11;6;10;19;23;37;239
Jacarepaguá;157.326;4;;4;2;3;3;;;3;8;6;4;37
Anil;24.172;;;1;5;3;1;;;1;3;1;5;20
Gardenia Azul;17.715;;2;7;12;9;;1;2;;1;4;7;45
Curicica;31.189;4;2;2;2;;3;2;;;1;5;6;27
Freguesia (Jacarepaguá);70.511;1;;3;1;;1;;;2;1;3;5;17
Pechincha;34.709;2;1;4;4;4;;1;;3;1;2;;22
Taquara;102.126;7;4;11;4;8;1;3;3;1;3;2;5;52
Tanque;37.856;;;1;1;;;;;;;;4;6
Praça Seca;64.147;1;;;1;1;;2;1;;1;;;7
Vila Valqueire;32.279;;;2;;1;;2;;;;;1;6
XXXIV - Cidade de Deus;36.515;5;;5;5;4;;;1;3;8;3;7;41
Cidade de Deus;36.515;5;;5;5;4;;;1;3;8;3;7;41
XXIV - Barra da Tijuca;300.823;9;6;13;7;7;2;3;2;3;13;12;20;97
Joá;818;;;;;;;;;;;;;
Itanhangá;38.415;1;;4;1;4;;1;1;1;3;;4;20
Barra da Tijuca;135.924;3;2;1;1;2;;;1;;4;7;8;29
Camorim;1.970;;;1;;;;;;;;;;1
Vargem Pequena;27.250;4;1;3;2;;;;;;1;1;1;13
Vargem Grande;14.039;;;;1;;;;;1;;;;2
Recreio dos Bandeirantes;82.240;1;3;4;2;1;2;2;;1;5;4;7;32
Grumari;167;;;;;;;;;;;;;
Área Programática 5.1;671.041;133;81;54;52;42;22;18;20;21;24;10;20;497
XXXIII - Realengo;243.006;62;27;21;19;22;7;5;3;5;3;2;3;179
Deodoro;10.842;1;;2;;;;;;;;;;3
Vila Militar;13.184;2;;;;1;;;1;;;;;4
Campo dos Afonsos;1.365;;;;;;;;;;;;;
Jardim Sulacap;13.062;4;;1;1;1;;;;2;;;;9
Magalhães Bastos;24.430;3;2;2;6;1;;;1;2;;;;17
Realengo;180.123;52;25;16;12;19;7;5;1;1;3;2;3;146
XVII - Bangu;428.035;71;54;33;33;20;15;13;17;16;21;8;17;318
Padre Miguel;64.228;12;5;6;9;2;1;;3;1;1;2;1;43
Bangu;243.125;36;25;15;15;9;8;9;2;5;11;5;6;146
Senador Camará;105.515;23;24;12;9;9;6;4;12;10;9;1;10;129
Gericinó;15.167;;;;;;;;;;;;;
Área Programática 5.2;665.198;93;70;34;27;25;30;18;9;19;19;24;27;395
XVIII - Campo Grande;542.084;73;54;26;19;19;23;15;7;18;16;24;21;315
Santíssimo;41.458;2;2;;1;;2;3;;1;2;1;4;18
Campo Grande;328.370;55;25;14;16;14;12;8;3;9;11;18;9;194
Senador Vasconcelos;30.600;3;3;1;;;4;1;;1;1;2;3;19
Inhoaíba;64.649;4;13;3;1;1;1;2;2;3;1;1;3;35
Cosmos;77.007;9;11;8;1;4;4;1;2;4;1;2;2;49
XXVI - Guaratiba;123.114;20;16;8;8;6;7;3;2;1;3;;6;80
Guaratiba;110.049;14;13;6;5;5;6;2;2;;3;;6;62
Barra de Guaratiba;3.577;1;1;1;;;1;1;;1;;;;6
Pedra de Guaratiba;9.488;5;2;1;3;1;;;;;;;;12
Área Programática 5.3;368.534;68;79;43;33;22;10;17;13;6;19;39;40;389
XIX - Santa Cruz;368.534;68;79;43;33;22;10;17;13;6;19;39;40;389
Paciência;94.626;13;17;7;11;7;5;5;2;3;3;5;8;86
Santa Cruz;217.333;50;53;28;19;14;4;11;11;1;10;30;29;260
Sepetiba;56.575;5;9;8;3;1;1;1;;2;6;4;3;43
